"","EDUC","CLASS","WRKSTAT","MARITAL","AGE","CHILDS","SEX","RELTRAD","ATTEND","RELPERSN","RELACTIV","SOCREL","SOCOMMUN","SOCFREND","SOCBAR","INTRNETUSE","INTPRFSSNL","UNPLUG","INTHOME","INTPUB","INTSKILL","INTSURF","INTLITERACY","INTAPPS","INTCOMM","INTSHARE","INTSEARCH","INTGAME","INTSTREAM","INTFNCL","INTMEET","INTLNLY","INTVIEWS","INTRUST","TRPPL","RACECEN1.mod"
"68",14,3,7,1,68,2,2,7,0,4,1,3,7,4,7,2,5,5,1,5,1,1,1,2,1,1,1,2,3,2,4,2,1,5,1,1
"69",16,3,1,1,62,2,1,2,3,3,4,4,5,5,6,1,1,5,1,2,1,1,2,2,1,4,1,5,3,3,4,3,5,3,7,1
"70",16,3,1,1,39,1,1,7,1,4,2,1,7,5,6,1,1,6,1,2,1,1,1,1,2,4,1,1,1,1,2,4,2,1,3,1
"71",16,3,6,5,22,0,2,7,0,4,1,2,4,2,3,2,1,2,1,2,1,1,2,2,1,1,1,4,1,1,4,2,5,3,5,1
"72",12,2,2,1,33,2,2,5,8,1,8,2,2,2,5,4,1,4,1,1,1,1,1,1,3,3,3,3,3,3,5,4,5,2,7,1
"73",17,3,1,5,47,0,1,7,0,4,3,5,2,2,3,1,1,5,2,2,1,1,2,2,2,3,1,3,2,3,4,2,2,5,7,1
"74",15,3,1,3,60,3,1,7,8,4,1,5,5,5,7,1,1,5,1,5,1,1,1,1,1,3,1,5,2,1,3,3,6,9,5,1
"75",16,3,1,1,54,2,2,6,0,4,3,3,4,2,7,1,1,1,1,5,1,2,1,2,1,3,2,5,3,2,4,3,5,4,5,1
"76",16,3,1,1,50,3,2,3,5,2,6,3,4,3,4,1,1,3,4,3,1,3,3,3,1,3,3,3,3,3,2,3,3,7,6,4
"77",12,2,1,5,31,1,1,6,3,3,4,1,4,2,3,1,1,2,1,2,2,1,2,3,1,1,1,1,1,1,3,5,5,5,5,6
"78",15,1,1,5,27,0,2,4,2,2,3,4,7,7,4,1,1,6,2,2,1,1,1,2,1,4,1,1,1,3,4,3,4,0,2,6
"79",12,3,1,4,38,1,1,6,0,1,2,2,7,7,7,2,5,2,1,3,2,2,2,2,2,5,2,5,2,1,4,4,6,5,7,6
"80",12,2,1,3,50,1,2,3,2,2,2,1,2,4,4,2,2,5,1,2,1,1,1,1,1,1,1,4,2,1,4,4,1,0,1,2
"81",16,3,1,5,39,0,2,1,6,2,8,7,2,2,5,2,1,1,2,4,1,1,1,2,2,3,2,5,3,3,5,4,6,6,6,1
"82",12,2,2,5,27,0,2,7,0,4,1,1,6,2,7,3,3,3,3,3,1,1,1,1,5,2,2,2,2,2,2,2,1,2,5,1
"83",12,2,1,1,32,2,2,4,7,2,5,2,2,3,3,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,10,5,1
"84",16,3,1,1,39,2,1,7,0,4,1,5,7,5,5,2,2,2,2,3,2,2,2,2,3,4,2,3,3,2,2,4,6,0,3,1
"85",16,3,1,1,38,3,2,1,7,1,4,5,6,2,6,1,1,5,1,1,1,1,1,1,1,1,1,5,2,2,4,4,5,2,3,2
"86",15,2,1,3,47,1,2,4,2,2,3,3,7,4,5,1,2,4,1,3,2,2,2,4,1,3,2,5,3,3,4,4,6,5,2,1
"87",18,3,5,1,66,2,2,7,0,4,1,2,5,5,7,2,5,6,1,2,1,1,1,1,3,3,1,5,3,3,2,3,5,7,4,1
